SpeciesNum,SampleID,Beta,Gamma,CollapseTP,RecoveryTP,RelativeHysteresis
1,88,NA,NA,0.196953908,0.07503006,33.86773547
1,89,NA,NA,0.113987976,0.043286573,19.63927856
1,90,NA,NA,0.216432866,0.082244489,37.2745491
1,91,NA,NA,0.108216433,0.041122244,18.63727455
1,92,NA,NA,0.090180361,0.034629259,15.43086172
1,93,NA,NA,0.113987976,0.043286573,19.63927856
1,94,NA,NA,0.086573146,0.033186373,14.82965932
1,95,NA,NA,0.072144289,0.02741483,12.4248497
1,96,NA,NA,0.103166333,0.039679359,17.63527054
1,97,NA,NA,0.13490982,0.051943888,23.04609218
1,98,NA,NA,0.072144289,0.02741483,12.4248497
1,99,NA,NA,0.126973948,0.048336673,21.84368737
1,100,NA,NA,0.216432866,0.082244489,37.2745491
2,1,0.8,0.3,0.07503006,0.015150301,16.633267
2,2,0.8,0.3,0.06853707,0.021643287,13.026052
2,3,0.8,0.3,0.10028056,0.029579158,19.639279
2,4,0.8,0.3,0.03679359,0.010821643,7.214429
2,5,0.8,0.3,0.07214429,0.014428858,16.032064
2,6,0.8,0.3,0.07142285,0.016593186,15.230461
2,7,0.8,0.3,0.08296593,0.015871743,18.637275
2,8,0.8,0.3,0.12192385,0.022364729,27.655311
2,9,0.8,0.3,0.06492986,0.012264529,14.629259
2,10,0.8,0.3,0.08873747,0.021643287,18.637275
2,11,0.8,0.3,0.09739479,0.018036072,22.044088
2,12,0.8,0.3,0.07286573,0.013707415,16.432866
2,13,0.8,0.3,0.07503006,0.014428858,16.833667
2,14,0.8,0.3,0.08513026,0.016593186,19.038076
2,15,0.8,0.3,0.06204409,0.011543086,14.028056
2,16,0.8,0.3,0.08224449,0.022364729,16.633267
2,17,0.8,0.3,0.0606012,0.012264529,13.426854
2,18,0.8,0.3,0.11543086,0.025250501,25.0501
2,19,0.8,0.3,0.11326653,0.022364729,25.250501
2,20,0.8,0.3,0.13058116,0.024529058,29.458918
2,21,0.8,0.3,0.09667335,0.018036072,21.843687
